spc_latin,health,steward,status,sentence
,,,Alive,"Bough down before me. I'm your local tree, {spc_common}, {address}, {zip_city}"
,,,Alive,"Every day is arbor day when you're an NYC Street Tree. -{spc_common}, {address}, {zip_city}"
,,,Alive,"Good things come in trees, like me, {spc_common}, {address}, {zip_city}"
,,,Alive,"I'm your friendly, local. neighborhood {spc_common}, {address}, {zip_city}"
,,,Alive,"Hug me, but don't hang on me, I'm a {spc_common}, {address}, {zip_city}"
,,None,,"See me. Love me. Hug me. I'm your tree, {spc_common}, {address}, {zip_city}"
,,None,,"I'm {spc_common}, care for me at {address}, {zip_city}"
,Poor,None,,"I don't feel well. Come visit. {spc_common}, {address}, {zip_city}"
Quercus palustris,,,"Alive, {spc_common} is my name. I'm all over this town."
,,None,,"Treat me with TLC, I'm your tree. -{spc_common}, {address}, {zip_city}"
,,,Dead,"RIP {spc_common}, {address}, {zip_city}"
,,,Dead,"{spc_common}, no longer with us. :( {address}, {zip_city}"
,,,Dead,"This used to be a thriving tree in {zip_city}."
,Poor,,Alive,"Don't let me die in plain sight. {spc_common}, {address}, {zip_city}"
Acer platanoides,,,Alive,"Call me sappy. I'm a Norway Maple. {address}, {zip_city}"
,Good,,Alive,"I'm shady, in a good way. -{spc_common}, {address}, {zip_city}"
Ailanthus altissima,,,Alive,"They call me Tree of Heaven, but I've got roots in the ground, {address}, {zip_city}"
Ailanthus altissima,Poor,None,Alive,"I'm the Tree of Heaven, I need your earthly love. {address}, {zip_city}"
Ailanthus altissima,Fair,,Alive,"Even a Tree of Heaven needs the help of human hands. {address}, {zip_city}"
Ailanthus altissima,,,Alive,"You know 'A Tree Grows in Brooklyn'? Well, that's me. {address}, {zip_city}"
Albizia julibrissin,,,Alive,"They call me Mimosa, but don't drink me. {address}, {zip_city}"
,,,Alive,"Come see me at {address}, {zip_city}. Your pal {spc_common}"
,,,Alive,"I'm your pal {spc_common} at {address}, {zip_city}."
,,,Alive,"Come by and tree me sometime. -{spc_common}, {address}, {zip_city}."
,Good,,Alive,"Just another proud {spc_common} of {zip_city}."
,,,Alive,"Can't hide {spc_common} pride. Come see for yourself: {address}, {zip_city}."
,,,Stump,"Who you calling stumpy? I used to be a healthy {spc_common}."
,,,Stump,"Don't let another tree end up like me. {address}, {zip_city}"
,Good,,Alive,"Breathe deep. Celebrate me, your friendly tree. -{spc_common}, {address}, {zip_city}"
,,,Alive,"Get back to your roots. Visit me. -{spc_common}, {address}, {zip_city}"
,,,Alive,"Stand up for trees like me. -{spc_common}, {address}, {zip_city}"
